"Anwar","Hossain","1960-01-01","Male","anwar@iub.edu.bd","01712345677","Bashundhara","H","1001","Spring 2020","Spring 2020","CSE"
"Mahady","Hasan","1960-01-01","Male","mahady@iub.edu.bd","01712345677","Bashundhara","H","1002","Summer 2020","Summer 2020","CSE"
"Mahbubul","Hasan","1960-01-01","Male","mahbub@iub.edu.bd","01712345677","Bashundhara","H","1101","Spring 2020","Summer 2020","EEE"
"Khasru","Rahman","1960-01-01","Male","khasru@iub.edu.bd","01712345677","Bashundhara","H","1102","Autumn 2020","Autumn 2020","EEE"
"Taufique","Ahmed","1960-01-01","Male","taufique@iub.edu.bd","01712345677","Bashundhara","H","1201","Spring 2020","Spring 2020","ACN"
"Md.","Saifuddin","1960-01-01","Male","saifuddin@iub.edu.bd","01712345677","Bashundhara","H","1202","Summer 2020","Autumn 2020","ACN"
"Fazlul","Haque","1960-01-01","Male","fazlul@iub.edu.bd","01712345677","Bashundhara","H","1301","Spring 2020","Spring 2020","MIS"
"Saiful","Islam","1960-01-01","Male","saiful@iub.edu.bd","01712345677","Bashundhara","H","1302","Summer 2020","Autumn 2020","MIS"
"Naheem","Mahtab","1960-01-01","Male","Mahtab@iub.edu.bd","01712345677","Bashundhara","H","1401","Spring 2020","Summer 2020","ENG"
"Mostafa","Chowdhury","1960-01-01","Male","mostafa@iub.edu.bd","01712345677","Bashundhara","H","1402","Autumn 2020","Autumn 2020","ENG"
"Faruk","Hossain","1960-01-01","Male","faruk@iub.edu.bd","01712345677","Bashundhara","H","1501","Spring 2020","Spring 2020","GSG"
"Taksim","Khan","1960-01-01","Male","taksim@iub.edu.bd","01712345677","Bashundhara","H","1502","Summer 2020","Autumn 2020","GSG"
